ENHANCE_ID,original_food_Code,FCT_ID,FCT_name,food_name_english,food_name_other,food_name_scientific,food_name_generic,FG1,FG2,FG3,EDIBLE,WATER,ENERC_KCAL,PROTCNT,FAT,FASAT,FAMS,FAPU,CHOLE,FIBTG,CHOAVLDF,SUCS,PHYTCPP,VITA_RAE,RETOL,CHOLN,THIA,RIBF,NIAEQ,TRP,VITB6C,PANTAC,FOLDFE,VITB12,VITC,VITD,VITE,VITK,CA,CU,FE,FECOE,FEABS,FECOECAT,P,K,MN,MG,SE,SODIUM,ZN
15227,5227,1,Bangladesh ,Salt,Lobon,,Salt,74,79,,1,,0,0,0,,,,,0,0,,,0,,,0,0,0,,0,0.358373239,0,0,0,0,0,,0,0,0,0.05,0,3,0,0,,0,,39340,0
14524,4524,1,Bangladesh ,"Orange juice, raw, unsweetened",Komolar ross,Citrus reticulata,Orange,63,64,,1,,9,0.2,0.1,,,,,0.2,1.7,,,1.974002849,,,0.06,0.02,0.3,,0.048,0.178480929,6,0,64,0,0.17,,5,0.044,0.7,0.05,0.035,3,13,150,,8,,10,0.05
16819,6819,1,Bangladesh ,"Gourd, ash, raw",Chalkumra,Benincasa hispida,Gourd,58,62,,0.67,,10,0.4,0.1,,,,,1.7,1,,,0.25,,,0.06,0.01,0.4,,0.043,0.445144547,16.25,0,31,0,,,30,0.02,0.8,0.05,0.04,3,14,139,,17.42326531,,38.78,0.1
14515,4515,1,Bangladesh ,"Muskmelon, bangee, light orange flesh, ripe","Bangee, paka",Cucumis melo,Muskmelon,63,64,,0.9,,16,0.3,0.2,,,,,0.8,2.8,,,3.571428571,,,0.11,0.08,0.5124,,0.0555,0.178480929,21.33333333,0,26,0,0.066666667,,21,0.09,0,0.05,0,3,35,130,,20,,7,0.06
17246,7246,1,Bangladesh ,"Tomato, red, ripe, raw",Paka tomato ,Lycopersicon esculentum,Tomato,63,65,,0.997,,16,1.106,0.248,,,,,1.65,1.45,,,8.654416667,,,0.038,0.043,0.6,,0.0485,0.445144547,15,0,12.287,0,0.54,,12.952,0.971791012,0.197210789,0.05,0.009860539,3,24,156.31,,7.418,,6.797,0.41
14506,4506,1,Bangladesh ,"Melon, futi, orange flesh, ripe","Futi, paka",Cucumis melo,Melon,63,64,,0.9,,17,0.305,0.23,,,,,0.8,3.14,,,104.7366667,,,0.11,0.08,0.5124,,0.0555,0.178480929,21.33333333,0,33.93,0,0.066666667,,17.23,0.06187,0.24576,0.05,0.012288,3,14,211,,21,,2.86,0.06271
16783,6783,1,Bangladesh ,"Cucumber, peeled, raw",Shosa,Cucumis sativus,Cucumber,58,62,,0.83,,17,0.8,0.1,,,,,0.7,2.876666667,,,3.666666667,,,0.16,0.02,0.3,,0.051,0.445144547,14,0,7.233333333,0,0.07,,12.66666667,0.05,0.6,0.05,0.03,3,17,105,,12,,2,0.1722
17166,7166,1,Bangladesh ,"Pumpkin, raw",Mistikumra,Cucurbita maxima,Pumpkin,58,60,,0.79,,18,1.4,0.3,,,,,2.4,1.325,,,369.1666667,,,0.07,0.06,0.8,,0.061,0.288537415,16,0,21.055,0,1.06,,51.82,0.21,0.7,0.05,0.035,3,16,349,,10,,8,0.10675
17176,7176,1,Bangladesh ,"Radish, raw",Mula,Raphanus sativus,Radish,58,62,,0.99,,18,0.895,0.1,,,,,1.6,2.478897436,,,0,,,0.43,0,0.454,,0.071,0.445144547,25,0,17.25176471,0,,,23.914375,0.0271,0.39659375,0.05,0.019829688,3,22.8575,142.4766667,,15,,40.37583333,0.3792
14328,4328,1,Bangladesh ,"Coconut, water",Daber pani,Cocos nucifera,Coconut,63,65,,1,,20,0.56,0.275,,,,,1.1,3.195,,,0,,,0.058,0.0334,0.09,,0.032,0.166841667,3,0,3.294,0,0,,20.2,0.04,0.1725,0.05,0.008625,3,17.66666667,260,,24.5,,95.5,0.1
16645,6645,1,Bangladesh ,"Amaranth, stem, raw",Data,Amaranthus gangeticus,Amaranth,58,62,,0.73,,21,0.9,0.1,,,,,,3.655,,,25.5,,,0.01,0.18,,,,0.445144547,,0,35.8,0,,,114,,1.8,0.05,0.09,3,30,,,,,,0.52
14650,4650,1,Bangladesh ,"Watermelon, ripe","Tarmuz, lal, paka",Citrullus vulgaris,Watermelon,63,65,,0.78,,22,0.465,0.2,,,,,0.4,4.381666667,,,29.31083333,,,0.02,0.04,0.328,,0.068,0.166841667,14.5,0,23.94666667,0,0.05,,12.4425,0.1237,0.38766,0.05,0.019383,3,12,106.75,,11.005,,17.47,0.145476667
16887,6887,1,Bangladesh ,"Leaf, bengal dayflower, raw",Bat baitta shak,Commelina benghalensis,Leaf,58,61,,0.71,,22,2.0413,0.2629,,,,,,2.225133333,,,317.5,,,0.04,,,,,0.162249625,,0,20.04,0,,,113,0.09,,0.05,0,3,19,473,,77,,20.7,0.63
17239,7239,1,Bangladesh ,"Tomato, green, raw",Kancha tomato ,Lycopersicon esculentum,Tomato,63,65,,0.98,,23,1.9,0.2,,,,,1.7,2.523,,,,,,0.07,0.01,0.6,,0.048,0.445144547,9,0,30.6,0,0.38,,16.21666667,0.3,0.3174,0.05,0.01587,3,28,156,,7,,7,0.1915
16699,6699,1,Bangladesh ,"Brinjal, purple, long, raw","Begun, kalo, lomba",Solanum melongena,Brinjal,58,62,,0.94,,24,1.9,0.061,,,,,4.0575,1.9665,,,3.7865,,,0.028,0.07,0.933,,0.079,0.445144547,34,0,1.287,0,0.1,,21.112,0.681935315,0.363875,0.05,0.01819375,3,47,177.69,,23.765,,7.636,0.566618968
