ENHANCE_ID,fbs_item_code,fbs_item
14268,2617,Apples and products
14270,2617,Apples and products
24257,2617,Apples and products
44259,2617,Apples and products
54260,2617,Apples and products
74261,2617,Apples and products
94262,2617,Apples and products
94263,2617,Apples and products
94264,2617,Apples and products
94265,2617,Apples and products
94266,2617,Apples and products
94267,2617,Apples and products
104269,2617,Apples and products
104271,2617,Apples and products
14290,2615,Bananas
24280,2615,Bananas
44288,2615,Bananas
54283,2615,Bananas
54284,2615,Bananas
64285,2615,Bananas
64286,2615,Bananas
64289,2615,Bananas
64291,2615,Bananas
84287,2615,Bananas
94282,2615,Bananas
104292,2615,Bananas
104293,2615,Bananas
14662,2513,Barley and products
24656,2513,Barley and products
94657,2513,Barley and products
94658,2513,Barley and products
94659,2513,Barley and products
94660,2513,Barley and products
94661,2513,Barley and products
15426,2546,Beans
16677,2546,Beans
16678,2546,Beans
16700,2546,Beans
25319,2546,Beans
25365,2546,Beans
25420,2546,Beans
26665,2546,Beans
26666,2546,Beans
45299,2546,Beans
45304,2546,Beans
45311,2546,Beans
45320,2546,Beans
45339,2546,Beans
45344,2546,Beans
45348,2546,Beans
45366,2546,Beans
45421,2546,Beans
45433,2546,Beans
54856,2546,Beans
55317,2546,Beans
55318,2546,Beans
55328,2546,Beans
55340,2546,Beans
55341,2546,Beans
55371,2546,Beans
55373,2546,Beans
55374,2546,Beans
55380,2546,Beans
55387,2546,Beans
55388,2546,Beans
56685,2546,Beans
56690,2546,Beans
65316,2546,Beans
65321,2546,Beans
65322,2546,Beans
65323,2546,Beans
65324,2546,Beans
65347,2546,Beans
65427,2546,Beans
65432,2546,Beans
65436,2546,Beans
75291,2546,Beans
75293,2546,Beans
75298,2546,Beans
75305,2546,Beans
75306,2546,Beans
75310,2546,Beans
75332,2546,Beans
75351,2546,Beans
75356,2546,Beans
75364,2546,Beans
75372,2546,Beans
75375,2546,Beans
75381,2546,Beans
85287,2546,Beans
85376,2546,Beans
85431,2546,Beans
85435,2546,Beans
85439,2546,Beans
85449,2546,Beans
95284,2546,Beans
95285,2546,Beans
95286,2546,Beans
95292,2546,Beans
95294,2546,Beans
95295,2546,Beans
95296,2546,Beans
95297,2546,Beans
95300,2546,Beans
95301,2546,Beans
95302,2546,Beans
95303,2546,Beans
95307,2546,Beans
95308,2546,Beans
95312,2546,Beans
95313,2546,Beans
95314,2546,Beans
95315,2546,Beans
95325,2546,Beans
95326,2546,Beans
95327,2546,Beans
95329,2546,Beans
95330,2546,Beans
95331,2546,Beans
95333,2546,Beans
95334,2546,Beans
95335,2546,Beans
95336,2546,Beans
95337,2546,Beans
95338,2546,Beans
95342,2546,Beans
95343,2546,Beans
95345,2546,Beans
95346,2546,Beans
95349,2546,Beans
95350,2546,Beans
95352,2546,Beans
95353,2546,Beans
95354,2546,Beans
95355,2546,Beans
95357,2546,Beans
95358,2546,Beans
95359,2546,Beans
95360,2546,Beans
95361,2546,Beans
95362,2546,Beans
95363,2546,Beans
95377,2546,Beans
95378,2546,Beans
95379,2546,Beans
95382,2546,Beans
95383,2546,Beans
95384,2546,Beans
95440,2546,Beans
95441,2546,Beans
95442,2546,Beans
95443,2546,Beans
95444,2546,Beans
95445,2546,Beans
95446,2546,Beans
96662,2546,Beans
96667,2546,Beans
96668,2546,Beans
96669,2546,Beans
96683,2546,Beans
96684,2546,Beans
96686,2546,Beans
96687,2546,Beans
96688,2546,Beans
96689,2546,Beans
96691,2546,Beans
96692,2546,Beans
105288,2546,Beans
105289,2546,Beans
105290,2546,Beans
105385,2546,Beans
105386,2546,Beans
105422,2546,Beans
105423,2546,Beans
105424,2546,Beans
105425,2546,Beans
105428,2546,Beans
105430,2546,Beans
105437,2546,Beans
105438,2546,Beans
106663,2546,Beans
106664,2546,Beans
15617,2731,Bovine Meat
15646,2731,Bovine Meat
15650,2731,Bovine Meat
15662,2731,Bovine Meat
25656,2731,Bovine Meat
25657,2731,Bovine Meat
26039,2731,Bovine Meat
26072,2731,Bovine Meat
26242,2731,Bovine Meat
45592,2731,Bovine Meat
55593,2731,Bovine Meat
55594,2731,Bovine Meat
55610,2731,Bovine Meat
65622,2731,Bovine Meat
65633,2731,Bovine Meat
65658,2731,Bovine Meat
65659,2731,Bovine Meat
66040,2731,Bovine Meat
66071,2731,Bovine Meat
75596,2731,Bovine Meat
75612,2731,Bovine Meat
75614,2731,Bovine Meat
75621,2731,Bovine Meat
75623,2731,Bovine Meat
75632,2731,Bovine Meat
75665,2731,Bovine Meat
76041,2731,Bovine meat
85597,2731,Bovine Meat
85611,2731,Bovine Meat
85613,2731,Bovine Meat
85690,2731,Bovine Meat
95598,2731,Bovine Meat
95599,2731,Bovine Meat
95602,2731,Bovine Meat
95603,2731,Bovine Meat
95604,2731,Bovine Meat
95605,2731,Bovine Meat
95606,2731,Bovine Meat
95607,2731,Bovine Meat
95608,2731,Bovine Meat
95609,2731,Bovine Meat
95615,2731,Bovine Meat
95616,2731,Bovine Meat
95642,2731,Bovine Meat
95643,2731,Bovine Meat
95647,2731,Bovine Meat
95653,2731,Bovine Meat
95660,2731,Bovine Meat
95663,2731,Bovine Meat
95666,2731,Bovine Meat
95667,2731,Bovine Meat
95668,2731,Bovine Meat
95669,2731,Bovine Meat
95670,2731,Bovine Meat
95671,2731,Bovine Meat
95672,2731,Bovine Meat
95673,2731,Bovine Meat
95674,2731,Bovine Meat
95675,2731,Bovine Meat
95679,2731,Bovine Meat
95680,2731,Bovine Meat
95681,2731,Bovine Meat
95684,2731,Bovine Meat
95685,2731,Bovine Meat
96075,2731,Bovine Meat
96076,2731,Bovine Meat
96077,2731,Bovine Meat
96078,2731,Bovine Meat
96079,2731,Bovine Meat
96084,2731,Bovine Meat
96085,2731,Bovine Meat
96088,2731,Bovine Meat
96089,2731,Bovine Meat
96092,2731,Bovine Meat
96093,2731,Bovine Meat
96094,2731,Bovine Meat
96095,2731,Bovine Meat
96096,2731,Bovine Meat
96097,2731,Bovine Meat
96098,2731,Bovine Meat
96099,2731,Bovine Meat
96100,2731,Bovine Meat
96101,2731,Bovine Meat
96102,2731,Bovine Meat
96103,2731,Bovine Meat
96268,2731,Bovine Meat
105648,2731,Bovine Meat
105649,2731,Bovine Meat
105651,2731,Bovine Meat
105652,2731,Bovine Meat
105654,2731,Bovine Meat
105655,2731,Bovine Meat
105661,2731,Bovine Meat
105664,2731,Bovine Meat
16252,2740,Butter
16279,2740,Butter
26245,2740,Butter
26247,2740,Butter
56244,2740,Butter
76246,2740,Butter
84620,2740,Butter
86249,2740,Butter
86250,2740,Butter
96254,2740,Butter
96255,2740,Butter
106251,2740,Butter
55007,2532,Cassava and products
56360,2532,Cassava and products
56361,2532,Cassava and products
56363,2532,Cassava and products
56364,2532,Cassava and products
56366,2532,Cassava and products
56375,2532,Cassava and products
56376,2532,Cassava and products
56518,2532,Cassava and products
56519,2532,Cassava and products
56520,2532,Cassava and products
56521,2532,Cassava and products
56522,2532,Cassava and products
56527,2532,Cassava and products
56529,2532,Cassava and products
56532,2532,Cassava and products
66362,2532,Cassava and products
66367,2532,Cassava and products
86369,2532,Cassava and products
86370,2532,Cassava and products
95008,2532,Cassava and products
96368,2532,Cassava and products
106365,2532,Cassava and products
106371,2532,Cassava and products
106372,2532,Cassava and products
106373,2532,Cassava and products
106374,2532,Cassava and products
54240,2766,Cephalopods
93793,2766,Cephalopods
93794,2766,Cephalopods
94215,2766,Cephalopods
94216,2766,Cephalopods
94241,2766,Cephalopods
24686,2520,Cereals
24687,2520,Cereals
24688,2520,Cereals
24689,2520,Cereals
24690,2520,Cereals
24691,2520,Cereals
24692,2520,Cereals
24720,2520,Cereals
74719,2520,Cereals
75012,2520,Cereals
94676,2520,Cereals
94677,2520,Cereals
94715,2520,Cereals
94727,2520,Cereals
94728,2520,Cereals
94848,2520,Cereals
94849,2520,Cereals
94850,2520,Cereals
94851,2520,Cereals
94852,2520,Cereals
94853,2520,Cereals
94869,2520,Cereals
94870,2520,Cereals
95000,2520,Cereals
95001,2520,Cereals
95009,2520,Cereals
95010,2520,Cereals
95015,2520,Cereals
95016,2520,Cereals
104674,2520,Cereals
104734,2520,Cereals
104735,2520,Cereals
104736,2520,Cereals
104737,2520,Cereals
104739,2520,Cereals
104740,2520,Cereals
56259,2578,Coconut Oil
96300,2578,Coconut Oil
106260,2578,Coconut Oil
126599,2578,Coconut Oil
14328,2560,Coconuts - Incl Copra
14330,2560,Coconuts - Incl Copra
14339,2560,Coconuts - Incl Copra
14342,2560,Coconuts - Incl Copra
24334,2560,Coconuts - Incl Copra
44331,2560,Coconuts - Incl Copra
54323,2560,Coconuts - Incl Copra
54329,2560,Coconuts - Incl Copra
54332,2560,Coconuts - Incl Copra
54333,2560,Coconuts - Incl Copra
54335,2560,Coconuts - Incl Copra
54337,2560,Coconuts - Incl Copra
54341,2560,Coconuts - Incl Copra
54343,2560,Coconuts - Incl Copra
54344,2560,Coconuts - Incl Copra
54345,2560,Coconuts - Incl Copra
