ForAllPriceDates,Price_date,ForAllRegions,Region_ID,Region_Name,ForAllIndividuals,Individual_ID,Price_100g,Minimum,Maximum,HD_exclude,fbs_item_code,Description,ENHANCE_ID,original_food_Code,FCT_ID,FCT_name,food_name_english,food_name_other,food_name_scientific,food_name_generic,FG1,FG2,FG3,extraction_factor,EDIBLE,WATER,ENERC_KCAL,PROTCNT,FAT,FASAT,FAMS,FAPU,CHOLE,FIBTG,CHOAVLDF,SUCS,PHYTCPP,VITA_RAE,RETOL,CHOLN,THIA,RIBF,NIAEQ,TRP,VITB6C,PANTAC,FOLDFE,VITB12,VITC,VITD,VITE,VITK,CA,CU,FE,FECOE,FEABS,FECOECAT,P,K,MN,MG,SE,SODIUM,ZN
,,FALSE,11601,,TRUE,,258,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11602,,TRUE,,331,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11604,,TRUE,,394,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11605,,TRUE,,429,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11606,,TRUE,,351,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11607,,TRUE,,637,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11608,,TRUE,,542,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11610,,TRUE,,415,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11612,,TRUE,,706,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11614,,TRUE,,472,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11615,,TRUE,,567,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11617,,TRUE,,426,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11620,,TRUE,,355,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
,,FALSE,11621,,TRUE,,294,,,,,,1332,32,13,,"Ivygourd, leaf, raw",,Coccinia grandis,Leaf,58,61,,,0.76,91,37,3.6,0.2,,,,,,1.2,,,336,,,0.11,0.17,19,,0.21,0.16225,36,0,13,0,,,57,0.14,1.4,0.05,0.07,3,69,166,,68.695,,19,0.5
