ENHANCE_ID,food_name_english,Country_ID,Region_ID,Region_Name,Price_date,Price_100g
54499,"Mango, unripe",115,11601,Region 1 Banteay Meanchey,03_2022,87
56375,"Cassava, white",115,11601,Region 1 Banteay Meanchey,03_2022,150
57123,"Papaya, unripe, raw",115,11601,Region 1 Banteay Meanchey,03_2022,161
44288,"Banana, ripe",115,11601,Region 1 Banteay Meanchey,03_2022,187
57147,"Plantain, all varieties",115,11601,Region 1 Banteay Meanchey,03_2022,193
96496,"Yam bean, jicama, raw",115,11601,Region 1 Banteay Meanchey,03_2022,198
14415,"Jackfruit, ripe",115,11601,Region 1 Banteay Meanchey,03_2022,199
104945,"Rice, white, polished, raw",115,11601,Region 1 Banteay Meanchey,03_2022,208
17166,"Pumpkin, raw",115,11601,Region 1 Banteay Meanchey,03_2022,213
16938,"Leaf, drumstick, raw",115,11601,Region 1 Banteay Meanchey,03_2022,222
56661,Banana flower heart,115,11601,Region 1 Banteay Meanchey,03_2022,224
44493,"Mango, ripe",115,11601,Region 1 Banteay Meanchey,03_2022,225
96797,"Eggplant, raw",115,11601,Region 1 Banteay Meanchey,03_2022,227
14574,"Pineapple, ripe",115,11601,Region 1 Banteay Meanchey,03_2022,229
16440,"Sweet potato, purple skin, pale yellow flesh, raw",115,11601,Region 1 Banteay Meanchey,03_2022,229
16446,"Sweet potato, white flesh, raw",115,11601,Region 1 Banteay Meanchey,03_2022,238
94879,"Noodles, rice, cooked",115,11601,Region 1 Banteay Meanchey,03_2022,244
96876,"Leaf, bitter gourd, raw",115,11601,Region 1 Banteay Meanchey,03_2022,244
56839,"Gourd, wax",115,11601,Region 1 Banteay Meanchey,03_2022,255
17258,"Water spinach, raw",115,11601,Region 1 Banteay Meanchey,03_2022,255
56796,"Eggplant, purple",115,11601,Region 1 Banteay Meanchey,03_2022,256
16835,"Gourd, sponge, raw",115,11601,Region 1 Banteay Meanchey,03_2022,259
