ForAllRegions,Region_ID,Price_100g,fbs_item_code,ENHANCE_ID,original_food_Code,FCT_ID,FCT_name,food_name_english,food_name_other,food_name_scientific,food_name_generic,FG1,FG2,FG3,extraction_factor,EDIBLE,WATER,ENERC_KCAL,PROTCNT,FAT,FASAT,FAMS,FAPU,CHOLE,FIBTG,CHOAVLDF,SUCS,PHYTCPP,VITA_RAE,RETOL,CHOLN,THIA,RIBF,NIAEQ,TRP,VITB6C,PANTAC,FOLDFE,VITB12,VITC,VITD,VITE,VITK,CA,CU,FE,FECOE,FEABS,FECOECAT,P,K,MN,MG,SE,SODIUM,ZN
FALSE,11601,235.04,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11602,232.78,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11604,228.26,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11605,256.51,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11606,224.87,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11607,233.91,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11608,248.6,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11610,226,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11612,281.37,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11614,226,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11615,228.26,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11617,223.74,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11620,245.21,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11621,247.47,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,11622,257.64,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,1160325,226,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
FALSE,1160918,257.64,2805,9104945,4945,10,"West Africa specs, fortified","Rice, white, polished, raw (fortified WFP specs)",,,Rice,1,13,,1,1,,353,6.141215299,0.462644305,,,,,1.084958559,80.6,,,195,,,0.65,0.027145539,9.1,,0.78,1.080266304,287.3,1.3,0,0,0.03,,10.8381217,0.17,4,0.05,0.2,3,108,95,,35,,2.8,6
